wordname,pos,freq,meaning,language
"""macro-""(連結系)",noun,4337,「大きい」「長い」の意,python
database,noun,4319,データベース,python
custom,noun,4305,慣習,python
json,noun,4303,JavaScript Object Notation,python
exit,noun,4287,出口,python
filter,noun,4218,フィルター,python
try,noun,4218,努力、試み,python
shell,noun,4174,貝殻,python
comparison,noun,4164,比較,python
failure,noun,4162,失敗,python
aria,noun,4152,アリア、詠唱,python
stdout,noun,4137,標準出力,python
condition,noun,4129,状態,python
port,noun,4123,港,python
check,noun,4077,監視,python
yield,noun,4065,産出,python
mime,noun,4052,身ぶり、手ぶり,python
zip,noun,4030,ファスナー、チャック,python
formatter,noun,3991,書式整形,python
site,noun,3912,敷地、場,python
tree,noun,3897,樹木,python
service,noun,3892,奉仕,python
struct,noun,3832,《C言語》構造体,python
property,noun,3824,資産、所有権,python
color,noun,3800,色,python
configuration,noun,3798,地形、構造,python
update,noun,3781,最新化,python
writing,noun,3774,書くこと,python
position,noun,3761,位置,python
place,noun,3754,場所、所、(抽象概念としての)空間,python
trace,noun,3736,跡、足跡,python
work,noun,3734,仕事、作業,python
void,noun,3716,虚空、無限,python
stdin,noun,3699,標準入力,python
response,noun,3686,返答、応答,python
www,noun,3674,ワールドワイドウェブ,python
coroutine,noun,3662,コルーチン,python
network,noun,3659,網状のもの,python
pour,noun,3624,注ぐこと,python
description,noun,3617,記述、(物品・計画などの)説明書,python
signature,noun,3561,署名、サイン,python
pool,noun,3524,水たまり,python
info,noun,3481,情報(infomation),python
execution,noun,3470,実行、遂行,python
record,noun,3468,記録,python
fraction,noun,3419,破片,python
stderr,noun,3415,標準エラー,python
async,noun,3413,非同期,python
conversion,noun,3412,転換(すること),python
parent,noun,3402,親,python
handling,noun,3358,扱うこと、操作,python
pipe,noun,3350,管、筒,python
log,noun,3337,丸太、(実験・業務などの)記録,python
word,noun,3277,語、単語,python
enum,noun,3257,列挙型,python
transport,noun,3245,輸送,python
rule,noun,3232,規則,python
hello,noun,3228,よろしく,python
problem,noun,3201,問題,python
effect,noun,3191,効果、影響,python
comment,noun,3170,論評,python
space,noun,3167,空間、(地球気圏外の)宇宙,python
decorator,noun,3160,装飾者,python
body,noun,3109,(人間・動物の)身体,python
pair,noun,3088,(同種の二つ(と考えられるもの)から成る)一対,python
compiler,noun,3081,編集者、コンパイラー,python
addition,noun,3070,付加、足し算,python
clause,noun,3022,節、(条約・法律の)条項,python
clinic,noun,2999,(病院・医科大学の付属)診療所,python
assignment,noun,2993,(学生の)宿題、割り当てられた仕事,python
literal,noun,2970,文字(上)の、文字どおりの,python
calendar,noun,2950,カレンダー,python
equivalent,noun,2940,同等物,python
spam,noun,2934,無差別に掲示されるメッセージ、くずメール,python
alias,noun,2924,別名,python
certificate,noun,2922,証明書,python
csv,noun,2920,comma separated value,python
year,noun,2919,年,python
status,noun,2880,(社会的)地位,python
cursor,noun,2878,(コンピューターなどの)カーソル,python
handle,noun,2875,取っ手、ハンドル,python
uuid,noun,2868,汎用固有識別コード,python
load,noun,2842,積み荷,python
installation,noun,2839,就任、取り付け,python
limit,noun,2813,極限、限度,python
compatibility,noun,2807,適合性,python
security,noun,2803,安全,python
sub,noun,2792,代理人,python
cookie,noun,2791,クッキー、菓子パン,python
digit,noun,2781,(個々の)アラビア数字,python
thing,noun,2750,(有形の)物,python
identifier,noun,2731,識別子,python
machinery,noun,2720,機械(類),python
issue,noun,2701,問題点,python
symbol,noun,2689,象徴,python
utility,noun,2679,効用、公益事業(体),python
location,noun,2669,位置,python
statistic,noun,2661,統計値,python
compile,noun,2657,機械語に翻訳すること、編集,python
availability,noun,2657,利用できること、有効、入手可能,python
fill,noun,2656,存分、おなか一杯,python
annotation,noun,2644,注釈,python
etc,noun,2620,…など、その他,python
display,noun,2603,展示、陳列,python
offset,noun,2580,相殺するもの、埋め合わせ,python
crash,noun,2579,衝突,python
mark,noun,2577,跡、記号,python
slice,noun,2574,断片,python
wait,noun,2542,待つこと,python
second,noun,2528,第2位,python
garbage,noun,2514,ごみ、不要データ,python
map,noun,2501,地図,python
difference,noun,2495,違い,python
compression,noun,2490,圧縮,python
split,noun,2472,分裂,python
initialization,noun,2461,初期化,python
domain,noun,2448,領地、領土,python
setting,noun,2446,調節、調節点,python
creation,noun,2445,創造,python
tab,noun,2437,タブ、襟づり、つまみ,python
run,noun,2436,走ること,python
algorithm,noun,2429,演算法,python
spec,noun,2412,思わく、投機,python
encode,noun,2408,暗号に書き直す,python
append,noun,2403,付加,python
side,noun,2399,側(がわ),python
menu,noun,2397,献立表、メニュー,python
label,noun,2380,はり紙,python
tag,noun,2375,付け札,python
store,noun,2352,貯蔵,python
slot,noun,2350,溝(みぞ),python
step,noun,2350,(足の運びとしての)歩み,python
day,noun,2348,(日の出から日没までの)日中、昼(間),python
newline,noun,2347,新路線,python
make,noun,2329,~製,python
sample,noun,2313,標本,python
suite,noun,2308,組、揃(そろ)い,python
hook,noun,2301,鉤(かぎ)、ホック,python
join,noun,2297,接合箇所,python
meaning,noun,2286,意味,python
stop,noun,2285,停止,python
password,noun,2283,合い言葉,python
cache,noun,2260,隠し場、貯蔵所,python
right,noun,2258,正当、権利,python
world,noun,2258,世界、地球,python
processing,noun,2253,加工、処理,python
writer,noun,2252,作家、著者,python
history,noun,2245,歴史,python
purpose,noun,2205,目的,python
column,noun,2203,柱、縦列,python
finder,noun,2201,発見者,python
escape,noun,2200,逃亡、脱出,python
tar,noun,2199,(たばこの)タール、やに,python
glob,noun,2196,かたまり,python
implement,noun,2193,道具、用具,python
something,noun,2192,何か、あるもの,python
component,noun,2188,構成要素,python
dump,noun,2178,ゴミ捨て場、ゴミの山,python
counter,noun,2168,カウンター、計算器,python
archive,noun,2154,記録保管所,python
one,noun,2142,一つ、一人,python
meaning,noun,2141,意味,python
runtime,noun,2134,ランタイム,python
performance,noun,2119,演奏、演技,python
victor,noun,2117,勝利者,python
scheme,noun,2106,計画,python
worker,noun,2102,働く人,python
chunk,noun,2093,大きいかたまり,python
