wordname,pos,freq,meaning,language
lightweight,adjective,233,ライト級の、軽量な,java
secondary,adjective,233,第2位の,java
reachable,adjective,230,到達できる、到達可能な,java
secret,adjective,230,秘密の、内密の,java
skeletal,adjective,230,骨格の、骸骨のような,java
masked,adjective,228,隠された、隠れた,java
green,adjective,228,緑(色)の、グリーンの,java
void,adjective,224,欠けて、空の,java
near,adjective,224,近く、接近して,java
reasonable,adjective,219,道理をわきまえた、わけのわかった,java
relevant,adjective,218,適切な、関連のある,java
incompatible,adjective,218,相いれない、両立しがたい,java
prime,adjective,216,主要な、主な,java
contiguous,adjective,214,接触する、隣接する,java
integral,adjective,209,不可欠な、積分の,java
recent,adjective,206,最近の,java
solid,adjective,205,固体の、実質的な,java
selectable,adjective,204,選択可能な,java
universal,adjective,204,一般的な、普遍的な,java
acceptable,adjective,203,受諾できる、満足な,java
conditional,adjective,202,条件付きの、暫定的な,java
successive,adjective,200,連続する,java
persistent,adjective,199,しつこい、持続性の,java
compact,adjective,197,ぎっしり詰まった、密集した,java
likely,adjective,196,ありそうな,java
composed,adjective,196,落ち着いた、構成されて,java
fundamental,adjective,195,基本の、基礎の,java
numerical,adjective,195,数の、数字で表わした,java
wrong,adjective,195,悪くて、不正で,java
coordinate,adjective,195,同等の、座標の,java
unused,adjective,194,使用されていない,java
transitional,adjective,194,移り変わる、過渡的な,java
fractional,adjective,193,断片の、端数の、わずかの、分数の,java
strict,adjective,193,厳しい、厳格な,java
big,adjective,193,大きい,java
component,adjective,193,構成している,java
much,adjective,192,多くの,java
inappropriate,adjective,191,不適当な,java
writable,adjective,190,書き込み可能,java
opaque,adjective,189,不透明な、不明瞭な,java
alternative,adjective,189,代わりの,java
north,adjective,189,北にある、北の,java
finite,adjective,188,限定されている、有限の,java
dimensional,adjective,187,次元の,java
strong,adjective,187,丈夫な、頑丈な,java
limited,adjective,187,限られた、有限の,java
declared,adjective,185,宣言した、公然の,java
japanese,adjective,185,日本の、日本人の,java
