wordname,pos,freq,meaning,language
randomly,adverb,87,ランダムに,python
historically,adverb,86,歴史的に,python
correspondingly,adverb,85,それ相応に,python
ultimately,adverb,84,究極的には,python
backward,adverb,84,後方(へ)の,python
namely,adverb,82,(いっそう具体的に)すなわち,python
readily,adverb,82,快く,python
deeply,adverb,82,深く、徹底的に,python
aside,adverb,82,わきへ、かたわらに,python
moderately,adverb,79,適度に,python
periodically,adverb,79,定期的に,python
intentionally,adverb,77,意図的に,python
externally,adverb,77,外部的に,python
conversely,adverb,77,逆に、反対に,python
considerably,adverb,76,かなり,python
forever,adverb,75,永久に,python
functionally,adverb,74,機能上,python
textually,adverb,74,本文のように(textualの副詞形),python
publicly,adverb,74,公に、公然と,python
straight,adverb,74,まっすぐに,python
conditionally,adverb,72,条件的に,python
universally,adverb,72,一般に,python
indeed,adverb,70,実に,python
unintentionally,adverb,70,意図せずに,python
uniquely,adverb,70,独自に,python
mistakenly,adverb,70,誤って、誤解して,python
verbose,adverb,68,言葉数の多い、冗長な,python
sufficiently,adverb,68,十分に,python
lexicographically,adverb,66,辞書編集上で,python
partly,adverb,66,一部分は,python
must,adverb,66,…してはいけない、必ず…する,python
traditionally,adverb,65,伝統的に,python
hopefully,adverb,65,希望を抱いて,python
improperly,adverb,65,不適切に,python
tightly,adverb,63,堅く、しっかりと,python
altogether,adverb,63,まったく、完全に,python
thereby,adverb,62,それによって,python
lovely,adverb,61,美しい、かわいらしい,python
conventionally,adverb,60,慣習的に,python
preferably,adverb,59,好んで,python
fortunately,adverb,58,幸いに、幸運に,python
erroneously,adverb,55,誤って、間違って,python
shortly,adverb,54,簡単に、短く,python
atomically,adverb,54,微小に,python
accurately,adverb,54,正確に,python
cleanly,adverb,54,清潔な,python
overly,adverb,53,過度に,python
suitably,adverb,53,好適に,python
unambiguously,adverb,53,明白に,python
thereafter,adverb,53,その後は、それ以来,python
sequentially,adverb,52,順次に,python
selectively,adverb,52,選択的に,python
uniformly,adverb,51,一様に,python
subtly,adverb,50,微妙に,python
mathematically,adverb,50,数学的に,python
luckily,adverb,50,運よく、幸運にも,python
literally,adverb,49,文字どおりに、逐語的に,python
everywhere,adverb,49,どこでも、至る所に,python
