wordname,pos,freq,meaning,language
interactive,adjective,2323,相互に作用する,python
necessary,adjective,2237,必要な,python
appropriate,adjective,2226,適当な,python
clear,adjective,2181,明るい,python
final,adjective,2162,最終の,python
executable,adjective,2126,実行可能,python
free,adjective,2125,自由な,python
actual,adjective,2114,現実の,python
relative,adjective,2108,比較上の,python
complete,adjective,2100,全部の,python
least,adjective,2067,最も小さい,python
future,adjective,2032,未来,python
partial,adjective,1991,一部(分)の,python
generic,adjective,1940,属に通有の、包括的な,python
constant,adjective,1881,不変の,python
third,adjective,1874,第3番目の,python
certain,adjective,1834,(…を)確信して,python
general,adjective,1823,(特殊でなく)一般の,python
raw,adjective,1819,生(なま)の、,python
due,adjective,1796,支払い期限の来た,python
red,adjective,1790,赤い,python
short,adjective,1771,短い,python
extra,adjective,1768,余分の,python
private,adjective,1658,私的な、個人に属する,python
corresponding,adjective,1647,一致する,python
less,adjective,1615,(量・程度が)より少ない,python
able,adjective,1613,することができる,python
mutable,adjective,1604,変わりやすい,python
safe,adjective,1583,安全な,python
non,adjective,1568,「非…」「不…」「無…」の意,python
separate,adjective,1547,別の、異なる,python
unsigned,adjective,1547,署名されていない,python
positive,adjective,1539,明確な、はっきりした,python
top,adjective,1537,いちばんの上の,python
signal,adjective,1522,信号の、顕著な,python
maximum,adjective,1518,最大の,python
enable,adjective,1502,可能にさせる,python
underlying,adjective,1497,下にある、基礎をなす,python
total,adjective,1460,全体の,python
important,adjective,1449,重要な,python
related,adjective,1448,関係のある,python
immutable,adjective,1433,不変の,python
specified,adjective,1431,仕様の、はっきりとした,python
temporary,adjective,1412,一時の、はかない、仮の、間に合わせの,python
correct,adjective,1407,正しい,python
great,adjective,1386,大きい、とても,python
external,adjective,1365,外部の,python
exact,adjective,1317,正確な,python
native,adjective,1310,出生地の,python
public,adjective,1292,大衆の、公共の,python
sure,adjective,1275,確信して、確かで,python
much,adjective,1256,多くの,python
major,adjective,1247,大きいほうの、主要な,python
early,adjective,1228,早く,python
best,adjective,1223,最もよい,python
arithmetic,adjective,1220,算術の,python
entire,adjective,1211,全体の,python
individual,adjective,1201,個々の,python
big,adjective,1189,大きい,python
alternative,adjective,1165,どちらかを選ぶべき、代わりの,python
aware,adjective,1153,(…に)気づいて,python
bad,adjective,1134,悪い,python
weak,adjective,1123,弱い、,python
concrete,adjective,1121,具体的な、有形の,python
active,adjective,1117,活動的な,python
suitable,adjective,1109,適当な,python
double,adjective,1099,2倍の,python
readable,adjective,1092,おもしろく読める、読みやすい,python
symbolic,adjective,1084,象徴的な,python
transitional,adjective,1060,移り変わる、過渡的な,python
wrong,adjective,1036,不正な,python
wide,adjective,1028,幅の広い,python
absolute,adjective,1014,絶対的な,python
significant,adjective,977,重要な,python
direct,adjective,973,まっすぐな、直進の,python
writable,adjective,963,書き込み可能,python
quiet,adjective,956,静かな,python
awaitable,adjective,949,非同期で実行でき、呼び出し元は後の段階で結果を受け取ります。,python
unchanged,adjective,940,変化していない,python
identical,adjective,938,まったく同じ,python
limited,adjective,929,限られた,python
right,adjective,907,正しい,python
accessible,adjective,901,近づきやすい,python
christian,adjective,901,キリスト教の,python
recursive,adjective,899,再帰的,python
usual,adjective,899,いつもの、通常の,python
strict,adjective,896,厳しい,python
hard,adjective,892,堅い、硬い、固い,python
logical,adjective,891,論理的な,python
upper,adjective,876,(場所・位置が)上のほうの,python
table,adjective,871,テーブルの、机の,python
unique,adjective,854,唯一の,python
explicit,adjective,853,明白な,python
nested,adjective,852,入れ子になった,python
functional,adjective,838,機能の,python
visible,adjective,836,目に見える,python
efficient,adjective,829,能率的な,python
typical,adjective,826,典型的な,python
independent,adjective,818,独立した,python
unknown,adjective,804,未知の,python
late,adjective,795,(ある時刻に)遅れた,python
relevant,adjective,793,(妥当な、関連のある,python
hashable,adjective,793,(ハッシュ可能) ハッシュ可能 なオブジェクトとは、生存期間中変わらないハッシュ値を持ち (__hash__() メソッドが必要)、他のオブジェクトと比較ができる (__eq__() メソッドが必要) オブジェクトです,python
fast,adjective,792,速い,python
random,adjective,791,手当たり次第の,python
detailed,adjective,786,詳細な,python
automatic,adjective,784,自動の,python
minor,adjective,775,小さいほうの、より少ない,python
notable,adjective,775,注目に値する,python
subsequent,adjective,774,その次の,python
little,adjective,773,(形状・規模の)小さい,python
remote,adjective,767,(距離的に)遠い,python
dynamic,adjective,765,動的な,python
printable,adjective,765,印刷できる,python
consistent,adjective,749,首尾一貫した,python
assert,adjective,738,断言する、主張する,python
boolean,adjective,733,ブール(代数)の,python
whole,adjective,732,全体の、すべての,python
critical,adjective,716,批判的な、危機の,python
manual,adjective,709,手の,python
alive,adjective,708,存続して、活発な,python
read,adjective,707,読む,python
disable,adjective,706,できなくする,python
undefined,adjective,690,定義されていない,python
usable,adjective,689,用いることができる,python
required,adjective,687,必修の,python
slow,adjective,685,遅い、のろい,python
ready,adjective,677,用意が整って,python
portable,adjective,669,持ち運びできる、携帯用の,python
lexical,adjective,658,語彙(ごい)の,python
primary,adjective,653,最初の、主要な,python
mathematical,adjective,639,数学(上)の,python
advanced,adjective,634,先進的な,python
likely,adjective,623,ありそうな,python
miscellaneous,adjective,616,種々雑多な(ものから成る),python
blank,adjective,615,白紙の、空白の,python
inheritable,adjective,614,相続させられる、伝えることのできる,python
potential,adjective,612,可能性のある、潜在的な,python
canonical,adjective,609,正典の、教会法に基づく,python
factorial,adjective,598,要因の,python
successful,adjective,597,成功した,python
terminal,adjective,595,終わりの,python
effective,adjective,590,効力のある,python
nonlocal,adjective,588,非局所的な,python
dependent,adjective,586,従属関係の,python
incorrect,adjective,584,不正確な,python
disabled,adjective,584,不具になった,python
frozen,adjective,579,凍った,python
unsupported,adjective,571,支えられていない,python
minimal,adjective,571,最小(限度)の,python
subject,adjective,569,従属する、属国の,python
fixed,adjective,565,固定した,python
responsible,adjective,564,責任のある,python
exclusive,adjective,558,他人を入れない、排他的な,python
magic,adjective,558,不思議な.,python
implicit,adjective,558,暗に示された,python
provisional,adjective,556,仮の、暫定的な,python
verbose,adjective,552,言葉数の多い、冗長な,python
conditional,adjective,550,条件付きの,python
latter,adjective,547,後のほうの,python
unexpected,adjective,546,予期しない,python
flexible,adjective,544,曲げやすい,python
proper,adjective,540,適切な,python
unnecessary,adjective,528,不必要な,python
tutorial,adjective,523,指導の,python
former,adjective,521,前の,python
close,adjective,520,接近した、類似した,python
idle,adjective,516,仕事のない、働いていない,python
legal,adjective,513,法律(上)の、正当な,python
minimum,adjective,505,最小の、最小限の,python
helpful,adjective,505,助けになる、役に立つ,python
naive,adjective,494,単純な、純真な,python
contiguous,adjective,489,接触する,python
octal,adjective,485,八進法の,python
mixed,adjective,483,混合の,python
physical,adjective,481,身体の、物理学(上)の,python
string,adjective,480,ひもで編んだ,python
brief,adjective,479,短時間の,python
infinite,adjective,478,無限の,python
encoded,adjective,473,エンコードされた,python
hexadecimal,adjective,466,16進の,python
foreign,adjective,465,外国の,python
proxy,adjective,462,代理の,python
specialized,adjective,459,specializeの過去形、または過去分詞。(…を)特殊化する,python
closed,adjective,458,閉じた、閉鎖した,python
strong,adjective,457,体力のある、頑丈な,python
distinct,adjective,447,他とまったく別な、はっきりした,python
imaginary,adjective,446,想像(上)の、虚数の,python
summary,adjective,443,かいつまんだ、要約した,python
careful,adjective,441,注意深い,python
insensitive,adjective,440,無感覚な、感受性のない,python
rich,adjective,440,裕福な、豊かな,python
embedded,adjective,440,埋め込まれた,python
undocumented,adjective,439,必要な書類の欠如,python
modern,adjective,431,現代の,python
green,adjective,431,緑色の,python
convenient,adjective,429,便利な,python
unary,adjective,429,単一の,python
incremental,adjective,429,ますます増加する,python
custom,adjective,426,注文の、あつらえの,python
audio,adjective,424,可聴周波の、音声の,python
universal,adjective,421,一般的な、普遍的な,python
shared,adjective,421,共同の、共有の,python
desired,adjective,420,願望された、待望の,python
isolated,adjective,408,孤立した、隔離された,python
fatal,adjective,407,致命的な,python
deep,adjective,407,(下に向かって)深い,python
average,adjective,406,平均の,python
unused,adjective,400,使用され(てい)ない,python
rational,adjective,398,理性のある、道理をわきまえた,python
fine,adjective,397,すばらしい、見事な,python
par,adjective,397,標準の、平均の,python
broken,adjective,396,壊れた，砕けた,python
formal,adjective,395,正式の,python
difficult,adjective,394,困難な、難しい,python
persistent,adjective,394,がんこな、持続性の,python
defined,adjective,392,定義された,python
illegal,adjective,389,不法の、違法の,python
complicated,adjective,389,複雑な、わかりにくい,python
pickled,adjective,385,塩漬けの,python
overridden,adjective,382,無視する、くつがえす,python
like,adjective,377,同様な、類似の,python
predefined,adjective,377,あらかじめ決められた,python
incompatible,adjective,376,気性が合わない、相いれない,python
nice,adjective,375,魅力のある、見事な,python
impossible,adjective,372,不可能な,python
ambiguous,adjective,371,両義に取れる、多義の、あいまいな,python
incomplete,adjective,369,不完全な,python
compact,adjective,367,密集した、引き締まった,python
clean,adjective,367,清潔な、よごれていない,python
async,adjective,366,非同時性の,python
wrapped,adjective,361,覆われた,python
cumulative,adjective,361,累積する、累加する,python
deterministic,adjective,357,決定論的な,python
associated,adjective,355,関連づけらてた,python
black,adjective,352,黒い、黒色の,python
classic,adjective,349,一流の、古典的な,python
square,adjective,346,正方形の、長方形の,python
applicable,adjective,335,適用できる、当てはまる,python
uninitialized,adjective,335,初期化されていない,python
integral,adjective,334,不可欠な、必須の、積分の,python
