wordname,pos,freq,meaning,language
variable,noun,7750,変わりやすいもの,java
equal,noun,7728,同等のもの,java
model,noun,7631,模型、モデル,java
point,noun,7562,点,java
order,noun,7213,順序,java
collection,noun,7176,収集,java
buffer,noun,7138,緩衝器、緩衝物,java
access,noun,7119,接近,java
position,noun,7070,位置、場所,java
context,noun,7058,前後関係、文脈,java
provider,noun,6985,供給者,java
function,noun,6971,機能,java
lane,noun,6947,小道,java
format,noun,6932,型、構成,java
version,noun,6806,…版,java
information,noun,6605,情報、知識,java
location,noun,6485,位置、場所,java
locale,noun,6459,現場、場所,java
view,noun,6154,見える状態、見ること,java
html,noun,6138,ハイパーテキストマークアップ言語,java
integer,noun,6073,整数,java
annotation,noun,6042,記注,java
application,noun,5974,適用、応用,java
font,noun,5946,フォント,java
service,noun,5924,奉仕,java
column,noun,5916,縦の段,java
target,noun,5916,標的、的,java
channel,noun,5814,水路、チャンネル,java
line,noun,5759,ひも、なわ,java
constant,noun,5660,不変の、一定の,java
range,noun,5497,範囲,java
note,noun,5444,メモ,java
container,noun,5413,容器、コンテナ,java
state,noun,5401,状態、様子,java
tag,noun,5397,付け札,java
language,noun,5395,言語,java
abstract,noun,5394,抽象,java
output,noun,5386,産出,java
representation,noun,5305,表現,java
coordinate,noun,5286,対等のもの,java
override,noun,5241,置き換えること、オーバーライド,java
border,noun,5211,端、国境(線),java
expression,noun,5175,表現すること,java
user,noun,5061,使用者、ユーザー,java
window,noun,5038,窓,java
change,noun,4960,変化、移り変わり,java
socket,noun,4938,受け口、ソケット,java
control,noun,4886,支配すること,java
call,noun,4751,信号、通話,java
clone,noun,4751,クローン、コピー,java
server,noun,4749,仕える人、給仕人、サーブする人,java
support,noun,4690,支持,java
net,noun,4642,網、ネット,java
entry,noun,4582,入ること、入場,java
form,noun,4527,形,java
width,noun,4503,広さ、幅,java
level,noun,4476,水準、程度,java
sequence,noun,4447,連続,java
child,noun,4431,子供,java
end,noun,4383,終わり、最後,java
algorithm,noun,4354,演算法、アルゴリズム,java
case,noun,4313,場合、事例,java
bit,noun,4235,小片、細片,java
memory,noun,4230,記憶、記憶装置,java
year,noun,4224,年、年間,java
url,noun,4142,ユニフォームリソースロケータ,java
notification,noun,4098,通知,java
item,noun,4038,項目,java
paint,noun,3986,ペンキ、塗料,java
directory,noun,3952,ディレクトリ,java
icon,noun,3938,像、偶像、アイコン,java
connection,noun,3887,連結、結合,java
rectangle,noun,3876,長方形、矩形(くけい),java
height,noun,3870,高さ,java
cause,noun,3861,原因,java
descriptor,noun,3837,記述語、記述子,java
mode,noun,3819,形態、モード,java
frame,noun,3801,骨組み,java
space,noun,3761,空間、宇宙,java
month,noun,3720,月、1 か月,java
pixel,noun,3673,画素、ピクセル,java
specification,noun,3662,設計書、仕様書,java
shape,noun,3644,形,java
request,noun,3642,要請,java
objectname,noun,3625,オブジェクト名,java
machine,noun,3604,機械、機械装置,java
button,noun,3599,ボタン,java
read,noun,3583,読書、読み物,java
copy,noun,3575,写し、コピー,java
layout,noun,3561,配置図,java
mask,noun,3543,マスク、おおい隠すもの,java
calendar,noun,3525,カレンダー、日程表,java
declaration,noun,3518,宣言、発表,java
command,noun,3502,命令、言いつけ,java
unit,noun,3468,単一体,java
selection,noun,3453,選択、選抜,java
certificate,noun,3453,証明、修了証明書,java
address,noun,3408,演説、住所,java
nullpointerexception,noun,3406,ぬるぽ,java
standard,noun,3398,標準、基準,java
segment,noun,3397,区切り、区分,java
parent,noun,3385,親,java
day,noun,3328,日中、日,java
signature,noun,3316,署名、サイン,java
base,noun,3305,基部、底,java
resource,noun,3291,資源、供給源,java
invocation,noun,3259,祈願、発動、実施,java
platform,noun,3210,プラットホーム,java
block,noun,3205,積み木、ブロック,java
start,noun,3181,出発,java
reader,noun,3151,読者,java
statement,noun,3122,述べること、陳述,java
relation,noun,3103,関係、関連,java
filter,noun,3054,(液体・ガスなどの)濾過(ろか)器、濾過用多孔性物質、フィルター、(交差点で左右の方向への進行を指示する)矢印信号(装置),java
menu,noun,3043,献立表、メニュー,java
group,noun,3027,群れ、集団,java
permission,noun,3007,許可、許諾,java
mapping,noun,2981,地図作成,java
style,noun,2964,様式,java
tool,noun,2944,道具,java
bean,noun,2930,豆,java
inputstream,noun,2915,入力系列,java
conversion,noun,2911,転換,java
client,noun,2898,依頼人、クライアント,java
iterator,noun,2885,イテレータ、コレクションあるいはコンテナの各要素に対する繰り返し処理の抽象化,java
desktop,noun,2879,デスクトップ,java
focus,noun,2869,焦点,java
database,noun,2868,データベース,java
area,noun,2818,面積、地域,java
dimension,noun,2808,面積、面,java
factory,noun,2785,工場、製造所,java
check,noun,2757,監視,java
part,noun,2715,部分,java
test,noun,2694,試験,java
dialog,noun,2691,対話、意見交換,java
obj,noun,2689,目的、(攻撃)目標,java
crypto,noun,2681,隠れ、クリプト,java
manager,noun,2675,支配人、経営者、管理者,java
reason,noun,2642,理由、わけ、動機,java
task,noun,2624,仕事,java
handler,noun,2620,扱う人,java
loader,noun,2612,ローダ,java
identifier,noun,2609,識別子,java
handle,noun,2576,取っ手、ハンドル,java
usage,noun,2541,使用法,java
left,noun,2531,左,java
lock,noun,2527,錠,java
charset,noun,2515,文字セット、文字集合,java
process,noun,2511,過程、経過,java
builder,noun,2498,建築(業)者,java
background,noun,2497,背景,java
accessibility,noun,2449,接近できること,java
zone,noun,2388,地帯、地域,java
http,noun,2379,ハイパーテキスト転送プロトコル,java
configuration,noun,2378,形状、地形,java
execution,noun,2350,実行、遂行、達成,java
pattern,noun,2332,型、パターン,java
flag,noun,2315,旗,java
behavior,noun,2310,ふるまい、態度,java
effect,noun,2297,結果、効果、影響,java
region,noun,2289,地域、地帯,java
header,noun,2280,頭(部)をとる人[もの],java
enumeration,noun,2273,列挙、数えあげること,java
program,noun,2255,プログラム、番組(表),java
hash,noun,2225,寄せ集め、ごたまぜ,java
box,noun,2222,箱,java
mechanism,noun,2215,仕組み、からくり、メカニズム,java
environment,noun,2201,環境,java
hierarchy,noun,2193,階級組織、階層,java
mouse,noun,2179,ネズミ、マウス,java
programming,noun,2177,プログラム作成、プログラミング,java
root,noun,2172,根,java
instruction,noun,2165,命令、使用説明書,java
duration,noun,2159,持続期、存続期間,java
amount,noun,2152,総計、総額,java
rule,noun,2142,規則、規定,java
port,noun,2113,港,java
stack,noun,2113,積み重ね、たくさん,java
jar,noun,2103,瓶、瓶,java
display,noun,2101,表示、展示,java
incubator,noun,2085,孵卵器、(早産児)保育器、細菌培養器,java
margin,noun,2081,余白,java
sound,noun,2075,音、音響,java
role,noun,2066,役、役目,java
kind,noun,2029,種類,java
driver,noun,2029,運転者、操縦者、ドライバー,java
feature,noun,2013,特徴、特色,java
title,noun,1994,表題、題名,java
metal,noun,1990,金属,java
attempt,noun,1984,試みる,java
release,noun,1984,釈放、放免、解放,java
category,noun,1964,カテゴリー、部門、区分、種類,java
protocol,noun,1956,通信規約,java
prefix,noun,1938,接頭辞,java
processing,noun,1928,加工,java
queue,noun,1909,列,java
info,noun,1902,情報,java
