wordname,pos,freq,meaning,language
combine,verb,1299,(…を)結合する,python
press,verb,1285,押す、プレスする,python
buffer,verb,1273,やわらげる，緩和する,python
recommend,verb,1268,推薦する,python
instantiate,verb,1266,例示する,python
connect,verb,1261,連結する,python
say,verb,1257,(…と)言う,python
begin,verb,1243,始める,python
manage,verb,1239,どうにかしてする、うまくする,python
link,verb,1236,…を〈…と〉連結する,python
fill,verb,1235,いっぱいにする,python
distribute,verb,1235,(…に)分配する,python
guarantee,verb,1220,保証する,python
consume,verb,1219,(…を)消費する,python
turn,verb,1211,回転させる,python
extract,verb,1201,抜く,python
recognize,verb,1196,(…を)認める,python
cancel,verb,1196,取り消す、キャンセルする,python
resolve,verb,1177,決意する、解決する,python
iterate,verb,1173,(…を)繰り返す,python
complete,verb,1161,〈…を〉完了する,python
trail,verb,1159,…を追跡する,python
mark,verb,1135,〈…に〉印をつける,python
reach,verb,1129,達する,python
install,verb,1125,(…に)取り付ける,python
compress,verb,1117,(…を)圧縮する,python
yield,verb,1117,産する、生む,python
succeed,verb,1116,成功する,python
clear,verb,1107,〈…を〉きれいにする,python
restore,verb,1105,修復する,python
limit,verb,1095,限定する,python
maintain,verb,1093,維持する,python
reference,verb,1084,(…に)言及する,python
reset,verb,1074,(…を)置き直す,python
relate,verb,1032,(…を)(…と)関係させる,python
behave,verb,1031,(…に)ふるまう,python
trigger,verb,1019,きっかけとなる,python
locate,verb,1013,(…に)置く,python
enter,verb,1010,入る,python
finish,verb,1008,(…を)終える,python
design,verb,995,設計する,python
tell,verb,987,告げる、言う,python
patch,verb,967,〈…を〉応急に直す[修繕する],python
lock,verb,949,かぎをかける,python
cover,verb,949,(…の)表面をおおう,python
win,verb,947,勝つ,python
simplify,verb,942,(…を)簡単にする,python
program,verb,935,〈…を〉計画する,python
explain,verb,930,説明する,python
sign,verb,922,〈…に〉署名する,python
track,verb,918,追跡する,python
consist,verb,917,成る、(…に)(本質的に)存する,python
offer,verb,886,提供する,python
command,verb,873,(…を)命令する、命じる,python
repeat,verb,867,繰り返す,python
signal,verb,867,〈…に〉合図する,python
restrict,verb,863,制限する,python
upgrade,verb,860,(…の)等級を上げる,python
tokenize,verb,853,トークン化,python
suppress,verb,849,抑圧する、隠す,python
note,verb,842,〈…を〉書き留める,python
involve,verb,840,巻き込む,python
borrow,verb,835,借りる,python
cache,verb,835,貯蔵する,python
reserve,verb,833,(…を)取っておく,python
order,verb,830,〈…を〉命じる,python
file,verb,824,とじ込む、ファイルする,python
escape,verb,818,逃げる,python
serialize,verb,805,順番に並べる、シリアル化する,python
rename,verb,802,(…を)新たに命名する,python
truncate,verb,795,切り縮める,python
exclude,verb,790,締め出す,python
rely,verb,785,頼る,python
place,verb,784,(…に)配置する,python
schedule,verb,784,〈…を〉予定(表)に組み込む,python
trace,verb,779,追跡する,python
reverse,verb,778,逆にする,python
cod,verb,776,〈…を〉もじる，からかう,python
calculate,verb,770,計算する,python
ask,verb,759,尋ねる,python
prefer,verb,751,むしろ(…の)ほうを好む,python
strip,verb,749,はぐ、むく,python
deal,verb,749,(…を)分配する,python
finalize,verb,748,完成させる,python
attach,verb,733,取りつける,python
fall,verb,725,落ちる,python
interrupt,verb,722,中断する,python
switch,verb,721,切り替えをする,python
pend,verb,721,未決定のままである,python
gain,verb,721,得る,python
lose,verb,720,失う,python
clean,verb,719,〈…を〉清潔[きれい]にする,python
mock,verb,719,あざ笑う、まねてあざける,python
orient,verb,713,方向づける,python
precede,verb,705,(…の)先に立つ,python
manipulate,verb,697,(手で)巧みに扱う、操縦する,python
fetch,verb,696,取ってくる,python
desire,verb,694,(…を)強く望む,python
serve,verb,690,奉公する,python
issue,verb,689,出す、刊行する、出版する,python
dump,verb,687,(…に)投げ捨てる、どさりと下ろす,python
group,verb,687,寄せ集める,python
join,verb,672,結合する,python
decorate,verb,671,(…を)(…で)飾る,python
wish,verb,660,思う,python
verify,verb,656,正しいことを確かめる,python
edit,verb,649,編集する,python
free,verb,648,解放する,python
split,verb,646,割る,python
profile,verb,646,側面を描く,python
retain,verb,644,維持する,python
enclose,verb,641,取り囲む,python
await,verb,633,(…を)待つ、待ち受ける,python
unpack,verb,628,解いて中身を出す,python
understand,verb,628,理解する,python
annotate,verb,626,注釈をつける,python
record,verb,608,(…を)記録する,python
capture,verb,594,捕らえる,python
discard,verb,592,(…を)捨てる,python
propagate,verb,592,(…を)繁殖させる,python
permit,verb,591,許す,python
pack,verb,589,〈ものを〉詰める、梱包する,python
shift,verb,588,移し変える,python
learn,verb,586,学ぶ、覚える,python
express,verb,582,表現する,python
translate,verb,581,(…へ)訳す,python
mention,verb,577,(…に)言及する,python
force,verb,568,強引に押し進める,python
speed,verb,566,急ぐ、疾走する,python
form,verb,562,形づくる、形成する,python
pad,verb,562,詰め物をする,python
chain,verb,560,鎖でつなぐ、縛りつける,python
slice,verb,559,〈…を〉薄く切る,python
sched,verb,553,《略語》schedule（予定）の短縮形,python
reflect,verb,552,反射する,python
augment,verb,552,(…を)増加させる,python
increase,verb,550,(数量・程度などが)ふえる,python
export,verb,549,(…へ)輸出する、(外へ)伝える,python
rewrite,verb,544,(…を)書き直す,python
complicate,verb,540,複雑にする,python
count,verb,538,数え上げる,python
drop,verb,538,〈ものが〉落ちる,python
transform,verb,537,変形させる,python
destroy,verb,533,破壊する,python
offset,verb,533,(…を)差引勘定する、相殺する,python
loop,verb,532,〈ひもなどを〉輪にする,python
present,verb,530,提出する、公開する,python
suggest,verb,530,提案する,python
hash,verb,519,細かに切る、めちゃくちゃにする,python
resize,verb,516,大きさを変更する,python
flush,verb,506,ぱっと赤らむ、顔を赤くする,python
conform,verb,501,従う,python
resume,verb,499,(中断した後に)再び始める,python
play,verb,499,遊ぶ,python
differ,verb,498,違う,python
launch,verb,497,乗り出す,python
indent,verb,496,(…に)ぎざぎざをつける、他の行より下げて印刷する、インデントする,python
query,verb,495,質問する、尋ねる,python
inspect,verb,493,(…を)詳しく調べる,python
demonstrate,verb,490,論証する,python
vary,verb,488,(…を)変える,python
fit,verb,486,適する,python
develop,verb,482,(…を)(…に)発達させる,python
achieve,verb,482,成し遂げる,python
examine,verb,482,(…を)調査する,python
remember,verb,479,思い出す,python
