wordname,pos,freq,meaning,language
modify,verb,1613,修正する、(部分的に)変更する,java
wait,verb,1610,待つ,java
override,verb,1594,無効にする、くつがえす、優先する,java
map,verb,1584,地図を作る,java
log,verb,1550,記録を出す,java
enclose,verb,1518,取り囲む,java
know,verb,1483,知る、知っている,java
compute,verb,1429,計算する、(…と)見積もる,java
open,verb,1405,あける、開く,java
resolve,verb,1400,解明する,java
accept,verb,1288,受け入れる、引き受ける,java
consider,verb,1281,よく考える,java
fail,verb,1274,失敗する,java
remain,verb,1254,残る、残存する,java
access,verb,1248,〈…に〉接近する、呼び出す,java
depend,verb,1227,(…を)頼る,java
leave,verb,1226,去る、出る、出発する,java
underlie,verb,1212,(…の)下にある、(…の)基礎となる,java
block,verb,1209,妨害[ブロック]する,java
draw,verb,1205,引く、牽引(けんいん)する,java
appear,verb,1178,姿を見せる、出現する、現われる,java
format,verb,1153,フォーマットに入れる,java
connect,verb,1135,連結する、接続する,java
append,verb,1123,(…に)添える、付加する,java
share,verb,1055,分ける、分配する,java
allocate,verb,1055,配分する、割り当てる,java
attribute,verb,1041,(…に)帰する,java
sample,verb,1028,経験する、試す,java
attempt,verb,1013,試みる、企てる,java
instal,verb,1011,使用するために置く、置く,java
offset,verb,1011,(…を)オフセット刷りにする,java
mean,verb,1007,(…の)意味を表わす、意味する,java
test,verb,1002,試験する、検査する,java
permit,verb,998,許す,java
build,verb,996,建てる、建設する,java
raise,verb,992,持ち上げる、掲げる,java
query,verb,983,に質問する、尋ねる,java
subtract,verb,982,減じる、引く,java
manage,verb,967,どうにかしてする、うまくする、愚かにもする,java
sort,verb,967,分類する、区分する,java
combine,verb,962,合併させる、連合する,java
encounter,verb,955,出会う、出くわす,java
become,verb,950,(…に)なる,java
notify,verb,947,(正式に)通知する、届け出る,java
wrap,verb,943,(…に)包む、くるむ,java
expect,verb,937,予期する、期待する,java
intend,verb,916,意図する、もくろむ,java
instantiate,verb,912,例示する,java
refer,verb,909,言及する、触れる,java
move,verb,902,(…を)動かす、移す,java
calculate,verb,896,計算する、算定する,java
choose,verb,885,選ぶ、選択する,java
ensure,verb,882,確実にする、保証する,java
encapsulate,verb,880,(…を)カプセルに包む,java
want,verb,865,欲する、(…が)欲しい,java
treat,verb,862,(…に)待遇する、取り扱う,java
acquire,verb,857,得る、身につける、学ぶ,java
release,verb,849,釈放する、解放する,java
configure,verb,838,設定する、設計する,java
save,verb,815,救う,java
put,verb,814,置く、(ある場所に)置く,java
locate,verb,809,(…に)置く、設立する,java
begin,verb,787,始める、着手する,java
edit,verb,786,編集する、校訂する,java
place,verb,780,(…に)置く、配置する,java
link,verb,779,連結する、結合する,java
value,verb,777,評価する、値をつける,java
fire,verb,771,火をつける，放火する、クビにする,java
record,verb,766,(…を)記録する、登録する,java
order,verb,761,〈…を〉命じる、指図する,java
assume,verb,761,当然思う、推測する,java
resize,verb,761,大きさを変更する,java
expand,verb,742,広げる、拡大する,java
terminate,verb,738,終える,java
guarantee,verb,726,保証する,java
reset,verb,717,置き直す、リセットする,java
restrict,verb,717,制限する,java
look,verb,716,見る、眺める,java
try,verb,712,努力する、ためす,java
validate,verb,706,有効にする、確認する,java
compile,verb,706,(編集のために)集める、機械語に翻訳する,java
sign,verb,704,署名する,java
interrupt,verb,700,(…を)さえぎる、中断する,java
denote,verb,700,表示する、示す,java
reach,verb,696,到着する、達する,java
continue,verb,683,続ける、継続する,java
recommend,verb,660,推薦する、推奨する,java
search,verb,660,捜す、捜索す,java
operate,verb,656,働く、仕事をする,java
deal,verb,656,(…を)分配する、分ける,java
maintain,verb,655,(…を)持続する、維持する,java
round,verb,653,丸くする、回る,java
consist,verb,647,成る,java
reduce,verb,646,減らす、減少させる,java
let,verb,646,させる、させてください,java
qualify,verb,632,適任とする、(…の)資格を与える,java
relate,verb,632,(…を)(…と)関係させる,java
detect,verb,630,発見する、検出する,java
type,verb,630,分類する、型を検出する,java
warn,verb,624,警告する,java
assign,verb,623,割り当てる、あてがう,java
evaluate,verb,618,評価する,java
transfer,verb,615,(…を)(…へ)移す,java
establish,verb,606,設立する、創立する,java
interpret,verb,599,(…を)解釈する、通訳する,java
export,verb,591,(…へ)輸出する、(外へ)伝える,java
inherit,verb,586,受け継ぐ、遺伝する,java
keep,verb,585,取っておく,java
affect,verb,584,(…に)影響を及ぼす、作用する,java
adjust,verb,583,(…を)調節する,java
separate,verb,581,離す、切り離す,java
decode,verb,581,(…の)暗号を解く、平文に直す,java
delegate,verb,579,代表に指名する、権限を与える,java
delete,verb,577,(…を)削除する、消す,java
cancel,verb,577,取り消す、解消する,java
end,verb,569,終える,java
synchronize,verb,568,同時性をもつ、同時である,java
discard,verb,555,捨てる,java
derive,verb,551,引き出す、由来を尋ねる,java
recognize,verb,544,認知する、承認する,java
fill,verb,537,いっぱいにする、満たす,java
back,verb,534,後援する、後退させる,java
reflect,verb,531,反射する、映す,java
float,verb,524,浮く、浮かぶ,java
unchecked,verb,523,抑えられ(てい)ない、抑制され(てい)ない、止まらない、検査をし(てい)ない、無検査の,java
list,verb,517,一覧表を作る、表にする,java
dispatch,verb,515,特派する、(…へ)発送する,java
compose,verb,515,構成する、(…の)基礎をなす,java
desire,verb,514,(…を)強く望む、欲求する,java
attach,verb,507,取りつける、くっつける,java
express,verb,499,表現する,java
lay,verb,499,置く、横たわる,java
transform,verb,496,(…に)一変させる、変形させる,java
enter,verb,492,入る、参加する,java
mark,verb,492,印をつける,java
press,verb,486,押す、プレスする,java
translate,verb,486,翻訳する,java
extract,verb,473,抜く、抽出する,java
initiate,verb,472,(…を)始める、創始する,java
stop,verb,470,止める、中断する,java
deliver,verb,460,(…に)配達する、(…に)伝える,java
form,verb,457,形づくる、形成する,java
succeed,verb,456,成功する、うまくいく,java
filter,verb,450,濾過する、こす,java
avoid,verb,442,回避する、避ける,java
prefer,verb,442,むしろ(…の)ほうを好む、むしろ(…を)選ぶ,java
annotate,verb,438,注釈をつける,java
happen,verb,430,起こる、生じる,java
exceed,verb,430,超える、(…を)超過する,java
expose,verb,430,さらす、(…を)触れさせる,java
scan,verb,426,走査する,java
clear,verb,423,きれいにする,java
design,verb,423,デザインする、設計する,java
lose,verb,422,失う、遺失する,java
designate,verb,419,示す、指示する,java
introduce,verb,418,紹介する,java
verify,verb,414,確かめる、実証する,java
orient,verb,414,適応させる、方向づける,java
lead,verb,413,(…に)導く、案内する,java
prevent,verb,410,予防する、防止する,java
deny,verb,409,否定する、(…を)否認する,java
present,verb,407,贈る、公開する,java
distinguish,verb,407,(…を)識別する、はっきり区別する、見分ける,java
forward,verb,406,転送する、回送する,java
listen,verb,399,聞く、傾聴する,java
come,verb,399,来る、(話し手のほうへ)やってくる,java
consume,verb,398,(…を)消費する,java
accumulate,verb,395,ためる、蓄積する,java
focus,verb,391,焦点を合わせる,java
imply,verb,382,含む、ほのめかす、暗示する,java
emit,verb,382,放射する、発行する、(電波で)送る,java
scale,verb,379,縮尺で描く[作る]、調整する,java
tag,verb,378,付け札をつける、たれ飾りをつける,java
submit,verb,375,提出する、提示する,java
scroll,verb,375,画面移動する。スクロールする,java
drag,verb,374,引っぱる、引き出す,java
cover,verb,373,おおう、かぶせる,java
grant,verb,370,承諾する、許す、認める,java
collect,verb,362,集める,java
behave,verb,357,(…に)ふるまう、行儀よくする,java
program,verb,356,…のプログラムを作る、…をプログラムに入れる,java
satisfy,verb,354,満足させる,java
issupported,verb,353,支持される,java
alter,verb,351,(…を)(部分的に)変える、変更する,java
lock,verb,348,鍵をかける,java
ask,verb,345,尋ねる、質問する,java
install,verb,343,任命する、(…に)取り付ける,java
truncate,verb,337,頭を切る、切り縮める,java
cache,verb,337,隠し場に蓄える、隠す,java
debug,verb,336,害虫を除く、欠陥を直す,java
retain,verb,336,保持する、維持する,java
catch,verb,335,捕らえる、つかまえる,java
increase,verb,334,ふえる、増加する,java
activate,verb,333,(…を)活動的にする、作動させる,java
tell,verb,331,告げる、話す,java
populate,verb,330,居住する、植民する,java
trigger,verb,330,を起こす、誘発する,java
repaint,verb,319,リペイント、塗り替え,java
localize,verb,319,地方的特色を与える、地方化する,java
traverse,verb,317,横切る,java
push,verb,315,押す、(…に)押し上げる,java
conform,verb,313,従う、一致する,java
flush,verb,312,ぱっと赤らむ、輝きだす,java
act,verb,311,行動する、行なう,java
go,verb,306,行く、向かう,java
measure,verb,305,(…を)測定する、測る,java
involve,verb,302,巻き込む、関係させる,java
skip,verb,302,跳ね回る、スキップする,java
impose,verb,302,負わせる,java
originate,verb,302,(…に)源を発する、起こる,java
document,verb,299,詳細に記載する,java
pop,verb,299,飛び出る、ポンと開く,java
observe,verb,294,(…を)観察する,java
buffer,verb,293,やわらげる、緩和する,java
wish,verb,292,思う、(…を)望む,java
manipulate,verb,291,(手で)巧みに扱う、操縦する,java
embed,verb,290,(…を)埋め込む,java
launch,verb,287,発射する、打ち上げる,java
exit,verb,284,退去する、立ち去る,java
vary,verb,283,変える、変更する,java
thread,verb,283,に糸を通す、…に糸を通してつなぐ,java
restore,verb,280,(…に)返す、返還する,java
suspend,verb,280,(一時)中止する、一時停止する,java
compress,verb,279,(…を)圧縮する,java
suppress,verb,279,抑圧する、鎮圧する,java
say,verb,279,言う、話す,java
file,verb,277,ファイルする、とじ込んで整理する,java
iterate,verb,277,(…を)繰り返す,java
serve,verb,275,仕える、奉公する,java
authenticate,verb,275,本物であることを証明する、認証する,java
point,verb,271,〔…に〕向ける、示す,java
divide,verb,271,分割する、(…に)分類する,java
align,verb,270,(…を)一直線にする、(…を)一列に整列させる,java
invalidate,verb,269,(…を)無効にする,java
constrain,verb,268,強いてさせる,java
break,verb,267,切断する、壊す,java
limit,verb,265,限定する、制限する,java
turn,verb,263,回転させる,java
intersect,verb,262,(…を)横切る,java
precede,verb,260,先に立つ、先導する,java
reverse,verb,259,逆にする,java
abort,verb,255,(故障などで)中止になる,java
input,verb,254,入力する,java
lie,verb,253,横たわる,java
fix,verb,251,(…を)(…に)固定する,java
fit,verb,249,合う、 ぴったりする、調和する,java
structure,verb,249,組み立てる、組織立てる,java
ascend,verb,248,登る、上がる,java
default,verb,248,義務を怠る、欠席する,java
yield,verb,248,産する、引き起こす,java
rotate,verb,247,回転する、循環する、自転する,java
fetch,verb,244,取ってくる、呼んでくる,java
omit,verb,244,省く、省略する,java
finish,verb,244,済ます、完了する,java
violate,verb,242,犯す、暴行を加える,java
import,verb,240,(…へ)輸入する、(…に)持ち込む,java
capture,verb,234,捕らえる、獲得する,java
position,verb,234,置く、…を配置する,java
enforce,verb,233,実施する、強める,java
comprise,verb,232,(集まって)構成する,java
multiply,verb,229,掛ける、ふやす,java
hide,verb,228,(…を)隠す、隠れる、見えないようにする,java
examine,verb,227,調査する,java
class,verb,226,分類する,java
